MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,Cloud9am,Cloud3pm,RainToday,RISK_MM,RainTomorrow,AverageTemp,AveragePressure,AverageHumidity,AverageWindSpeed
21.6,35.1,0,5.6,10.5,E,43,E,SE,3,5,No,0.4,No,30,1007.55,53,19.5
23.3,37.4,0.4,6.4,13.1,SSW,39,E,W,0,1,No,0,No,31.7,1010.25,53.5,20.5
21,39.1,0,10.6,13.1,WSW,39,ENE,WSW,1,1,No,0,No,33.05,1009.5,45.5,23.5
18.6,32.7,0,10.2,11.9,SW,33,SW,W,1,1,No,0,No,27.6,1009.45,61.5,15.5
20.4,33.3,0,8,13,SW,48,SSE,SSW,1,1,No,0,No,27.6,1011.4,45.5,23
17.3,33.2,0,11.2,12.9,ESE,50,ESE,WSW,0,0,No,0,No,25.6,1009.3,43.5,21.5
15.2,27,0,10.6,12.3,SW,56,S,SW,4,2,No,0,No,21.75,1008.05,48,30.5
9.4,27.3,0,9,12.7,WSW,46,SSE,WSW,2,0,No,0,No,23.15,1013.4,41,16
15.4,32.9,0,9.4,13,E,57,E,E,0,0,No,0,No,24.7,1016.4,33.5,27
17.6,34.6,0,12.8,12.9,E,69,ENE,E,0,0,No,0,No,27.25,1016.2,32,34.5
19.7,36.8,0,12.6,11.4,E,65,ENE,ENE,0,3,No,0,No,29.15,1014.6,29,32.5
23,39.2,0,10.4,12.8,NE,41,NE,ENE,1,1,No,0,No,33.35,1010.95,15.5,17.5
22.3,39.5,0,11.2,9.4,WSW,54,NE,WSW,6,6,No,0,No,32.85,1007.4,16.5,25
21.7,28.1,0,11.8,4.3,SE,52,SE,ESE,6,5,No,0.2,No,25.05,1012.95,53,23
18.8,29.1,0.2,7.4,1.3,E,65,ESE,SE,7,7,No,0,No,25.2,1008,41.5,19.5
15.9,32.4,0,3.6,12,WSW,33,ENE,WSW,1,0,No,0,No,26.25,1007.25,57.5,24
18.2,27.5,0,6.8,11.4,SSW,41,SSW,WSW,7,1,No,0,No,24.15,1010.8,56,27
16,31.9,0,9,12.5,SE,44,SE,SSE,1,1,No,0,No,25.25,1011.6,43,17
17.4,32,0,8,12.5,E,57,ESE,SSE,1,0,No,0,No,24.55,1012,42.5,25
16.7,33.8,0,11.6,12.4,E,61,E,SSE,0,1,No,0,No,25.95,1012.7,36.5,20.5
18.4,36.4,0,11,12.3,E,61,ENE,ENE,0,1,No,0,No,28.05,1014,36,27
21,39.9,0,14.2,11,E,54,ENE,W,3,7,No,0,No,32.9,1010.1,20,22.5
20,31.7,0,11.8,10.9,WSW,41,SSW,WSW,5,1,No,0,No,26.1,1011.45,48,26
17.2,34.3,0,7.4,11.8,E,57,ENE,N,6,6,No,0,No,25.95,1011.4,41,19
18.4,25.4,0,7.2,5.7,SW,39,WSW,WSW,7,7,No,0,No,22.85,1007.05,66,21.5
12.9,23.5,0,6,4.2,WSW,43,NNE,W,7,8,No,4.8,Yes,18.1,1007,81,20.5
8.3,23.9,4.8,3.8,11.3,SSW,37,NNE,SSW,6,7,Yes,0,No,19.05,1016.4,57.5,14.5
13.7,30.2,0,6.4,12,ENE,41,ENE,WSW,1,1,No,0,No,23.3,1014.15,47,23
15.4,36.1,0,6.6,9.2,E,43,E,E,6,3,No,1.6,Yes,29,1007.8,35.5,22
22.4,32.9,1.6,8.2,9.7,NE,50,NNE,W,4,6,Yes,0,No,28.6,1004.35,54,15
18.4,24.7,0,7.4,9.5,SW,59,SSW,SW,7,3,No,0,No,20.8,1009.95,52.5,36
6.1,26.2,0,10.4,11.2,ESE,43,SSE,ESE,0,0,No,0,No,19.6,1024.5,36,17.5
13.6,30.4,0,6.6,11.7,ESE,52,ENE,E,0,1,No,0,No,23.05,1025.1,32.5,28
17,34.3,0,10,11.7,NE,39,ENE,N,0,0,No,0,No,26.6,1022.1,30.5,15
15.2,34.5,0,8,11.6,E,72,ENE,W,1,0,No,0,No,27.75,1018.1,28,18.5
17.1,31.6,0,11.6,11.5,E,78,ENE,ESE,1,0,No,0,No,24.6,1018.75,42,28
17.2,35,0,8,11.7,ENE,44,ENE,SW,6,4,No,0,No,27.6,1015.3,28.5,17.5
15,35.3,0,10,11.6,WSW,37,ENE,W,1,1,No,0,No,29.1,1015.05,21.5,20.5
14.9,38.3,0,9,11.8,WSW,37,ENE,W,1,1,No,0,No,30.8,1012.5,21.5,20.5
12.7,30.8,0,8.8,4.9,S,39,W,S,2,7,No,0,No,25.2,1012.2,36,12
18.6,27.1,0,5.4,5.3,SSW,37,SE,WSW,7,7,No,0,No,23.7,1013.75,56,14
14.2,28.3,0,7,11,SE,39,S,SSW,0,0,No,0,No,22.55,1018.9,40,17
13.9,31.1,0,8.2,10.9,E,57,ENE,E,1,3,No,0,No,23.1,1019.15,35.5,25
16.5,39.7,0,12.2,7.1,E,61,ENE,NE,7,6,No,0,No,29.65,1012.45,23.5,21.5
15.9,32.2,0,5.4,10.8,WNW,33,NNE,W,0,1,No,0,No,26.8,1011.85,42.5,15
16.2,25.6,0,7.4,2.9,W,48,NNE,W,7,8,No,0.6,No,20.9,1013.45,71,16.5
12.6,24.2,0.6,4,9.8,SW,41,SW,W,6,1,No,0,No,20.5,1016.75,55.5,16
8.5,25.9,0,6.2,11.5,W,35,SW,W,1,3,No,0,No,20.85,1014.5,47.5,17.5
11.8,24.8,0,8.4,5.8,SW,43,W,W,7,6,No,2,Yes,21.8,1011.05,50.5,17.5
10.9,24,2,3.2,10.1,WSW,33,NE,WSW,4,2,Yes,0,No,19.7,1016.3,54,13
6.4,24.1,0,6.2,10.4,WSW,39,ENE,WSW,1,1,No,0,No,19,1015.15,54,11
11.9,24.2,0,4.4,8,WSW,35,NNE,WSW,2,7,No,1.8,Yes,20.15,1013.95,66,15.5
12,25,1.8,2.8,10,W,31,NNE,WSW,5,2,Yes,0,No,20.25,1016.55,63,12
12.4,26,0,4.8,10.6,W,37,NE,W,3,7,No,0,No,21.35,1019,65,15
14.6,32.5,0,7.2,10.7,E,57,E,S,3,1,No,0,No,25.55,1020.1,42.5,16.5
14.2,37.5,0,6.8,10.7,NNW,35,ENE,WSW,0,0,No,0,No,28.1,1016.3,40,10
16,29.4,0,6,10.8,SW,44,S,SW,1,1,No,0,No,23.45,1018.25,55.5,21
17.2,26,0,7.6,8.4,ESE,52,ESE,E,5,5,No,0,No,22.55,1019.6,43.5,25
17.4,26.1,0,6.2,8.9,SW,46,ESE,WSW,7,1,No,0,No,22.45,1014.1,56.5,22.5
13,25.8,0,5,8.1,SW,48,SSW,WSW,7,1,No,0,No,21.9,1016.2,55,26.5
11.4,24.4,0,4,9.5,SSE,41,S,SW,2,1,No,0,No,20.3,1021.7,40.5,13
9.4,26.2,0,5.8,10.1,E,41,WSW,SSW,5,1,No,0,No,21.55,1023.95,37.5,13.5
13.8,28.1,0,5.6,10.8,E,57,E,ENE,1,0,No,0,No,22.45,1026.25,39.5,29.5
14.6,29.2,0,6.4,10.3,E,52,ENE,ESE,4,2,No,0,No,23.2,1026.5,33.5,22.5
13.9,27.9,0,7,10.8,E,52,E,E,1,0,No,0,No,23.05,1026.25,36.5,25
14.7,29.2,0,8.4,10.9,ENE,48,E,E,1,1,No,0,No,24.05,1022.7,33.5,22
17.2,31.6,0,7.4,10.4,ENE,44,NE,NE,0,1,No,0,No,27.15,1020.25,26.5,22
17.4,33.6,0,7.4,10,NNE,35,ENE,WSW,7,5,No,0,No,28.85,1017.7,18.5,19.5
14.6,34,0,7.2,9.7,E,54,E,WSW,2,1,No,0,No,24.3,1017.9,27,17
17.2,35.5,0,7.8,10.5,E,57,ENE,NNE,1,2,No,0,No,27.7,1013.7,33.5,24
14.1,31.1,0,5.6,10,SW,30,NNE,WSW,5,7,No,0,No,24.45,1013.05,57.5,13
15.6,34.2,0,6.8,10.6,ENE,67,NE,ENE,1,1,No,0,No,29.6,1014.3,13.5,30.5
20.8,24.6,0,12.2,0.1,E,70,ENE,SE,7,8,No,6.2,Yes,21.85,1012.9,53,22
15.3,28.2,6.2,3.8,8,SE,50,NE,ESE,3,3,Yes,0,No,23.8,1014.9,50.5,12.5
14.3,26.9,0,4.8,10.5,E,41,E,S,1,0,No,0,No,21.85,1016.85,45.5,17.5
13.8,28.6,0,6,10.6,E,35,E,SSE,0,1,No,0,No,22.65,1014.35,43.5,13
13.6,29.9,0,4.6,8.3,E,37,ENE,WSW,1,3,No,0,No,25.05,1012.65,42,20.5
16.2,25.6,0,5.2,1.8,E,52,ENE,N,7,7,No,0.6,No,22.55,1014.1,54,11
17,30,0.6,2.4,10.5,NE,31,ENE,WSW,0,1,No,0,No,24.8,1013.7,51.5,21.5
13.3,27.9,0,4.6,10.7,W,30,NNE,W,0,1,No,0,No,23.05,1012.5,60.5,12
13.9,30.6,0,4,10.5,SSW,33,ENE,W,1,1,No,0,No,26.65,1007.75,37.5,12
12.1,22.1,0,5,8.4,SSW,56,S,SW,2,3,No,0,No,19.75,1013.25,51.5,25
3.7,21.5,0,4.2,7.3,S,39,SSE,SW,7,1,No,0,No,17.95,1023.7,45.5,13
9.2,23.2,0,4.4,6.2,SW,35,N,SW,5,5,No,0,No,19.1,1023.55,63.5,15
11.8,23.1,0,2.8,7.2,S,31,ENE,SSW,2,5,No,0,No,20.5,1023.15,55,11.5
7.5,26.3,0,3.2,9.4,W,31,S,WSW,1,6,No,0,No,21.3,1021.8,57,14
11.9,28.9,0,3.2,9.3,W,30,ENE,WSW,0,3,No,0,No,22.85,1019.25,40,19.5
11.4,28.5,0,5,10.1,E,39,E,E,0,0,No,0,No,23.55,1022.6,44.5,20
16.4,26.5,0,6.2,3.8,ENE,39,NE,SSW,7,6,No,0,No,22.8,1019.95,40.5,11
9.3,24.5,0,4.2,9.3,ESE,39,S,WSW,1,0,No,0,No,20.3,1023.8,52,17
10.8,25.2,0,4.6,9.8,E,54,ENE,ESE,0,0,No,0,No,20.1,1026.7,41,24
13.1,28.5,0,6.2,9.9,ENE,39,ENE,SW,0,1,No,0,No,22.7,1025.55,31.5,13.5
10,27.4,0,4.2,7,E,33,ENE,E,6,7,No,0,No,22.55,1025.05,30,12
11.4,28,0,4.4,9.9,ENE,33,ENE,NE,1,0,No,0,No,23.15,1025,24.5,13
9.9,27.9,0,4,10,ENE,39,ENE,ENE,0,0,No,0,No,22.85,1027.4,26,23
11.9,27.3,0,6.8,10,NE,37,ENE,SE,1,2,No,0,No,22.3,1028.4,28.5,18.5
12.7,26,0,3.4,9.9,ENE,31,ENE,E,0,0,No,0,No,22.15,1027.5,32,14
10,25.5,0,4.2,9.8,ENE,37,ENE,E,1,1,No,0,No,21.1,1026.85,32,15.5
12.3,25.8,0,4.8,9.7,ENE,33,ENE,N,0,2,No,0,No,21.4,1023.1,30.5,15
9.3,23.6,0,3.6,1.2,ENE,22,NNE,WSW,7,7,No,0,No,20.45,1019.6,34,9
11.9,26.4,0,2.2,9.5,ESE,56,NW,W,1,1,No,0,No,22.05,1020.55,44,13
14.2,24.6,0,5.4,9.5,E,67,E,ESE,1,1,No,0,No,20.3,1024.9,45,18.5
12.2,24.9,0,4.8,9.4,E,54,E,ESE,1,2,No,0,No,20.05,1025.3,47,14.5
9.4,24.6,0,4.4,9.5,E,33,ENE,WNW,0,1,No,0,No,19.5,1023.7,39.5,15.5
8.4,25.6,0,3,9.6,WSW,30,NE,ENE,1,0,No,0,No,20.35,1021.8,31.5,13
7,25.5,0,3.4,9.5,NE,31,NE,ENE,1,1,No,0,No,20.5,1020.3,29.5,12
8.3,26.5,0,4.4,9.2,ENE,31,ENE,W,2,1,No,0,No,21.25,1016.25,28.5,17.5
6,23.2,0,4.2,8.9,NW,30,N,W,2,1,No,0,No,18.4,1014.3,48.5,12
9.2,24.4,0,2.6,8.8,WSW,31,WNW,WSW,1,1,No,0,No,19.55,1015.8,62,14
12.6,27.2,0,2.4,8.1,NNW,41,NNE,NNW,3,1,No,10.8,Yes,21.5,1010.35,58.5,19.5
14.8,23.2,10.8,3.2,2.5,NW,107,N,W,6,8,Yes,17.2,Yes,17.9,999.7,86,38
9.8,17.2,17.2,3.4,6.2,W,91,WNW,W,3,4,Yes,21.2,Yes,15.1,1004.6,54,36
11,16.6,21.2,4,4,SSW,56,SW,SSW,7,2,Yes,0,No,14.4,1009.65,75.5,20.5
3.1,19.2,0,2,9.3,WSW,22,NNE,WSW,1,3,No,0,No,14.65,1018.05,60.5,7
6.2,19,0,1.8,7.3,ENE,37,ESE,ENE,2,6,No,0,No,15,1019.5,51,11
9.6,22.3,0,2.2,9.4,ENE,54,NE,NE,2,3,No,0,No,18.05,1017.25,37.5,24
12.5,22.1,0,4.4,5.4,ENE,50,ENE,E,7,5,No,0,No,18,1017.15,41.5,21
13,23.2,0,5.2,7.2,ENE,46,ENE,ENE,2,1,No,0,No,18.8,1017.9,41,24
12.4,23.8,0,4.6,9.3,ENE,41,ENE,NE,0,1,No,0,No,19.55,1018.95,42,19.5
13.7,25.2,0,4.4,7.1,N,48,ENE,NE,7,7,No,0.4,No,20.2,1017.15,47,18.5
13.6,24.3,0.4,2.4,4.9,ENE,26,E,SSE,7,6,No,0,No,20.05,1016.6,54.5,13
13.9,25.3,0,2.2,8,E,37,ENE,NNE,6,1,No,3.4,Yes,20.45,1017.45,54,15
12.2,22.9,3.4,2,7,ENE,26,ENE,WNW,7,3,Yes,0.6,No,18.25,1016.45,75.5,16
9.4,20.3,0.6,1.6,6.1,SW,50,NE,W,4,3,No,2.2,Yes,15.8,1018.75,81,16.5
7.3,18.2,2.2,1.8,8.2,SW,39,WNW,S,4,3,Yes,0,No,14.4,1020.5,61,17.5
4.7,19.9,0,2.8,9.3,SSW,30,S,SSW,1,3,No,0,No,15,1022.05,70,10.5
7.2,20.3,0,1.6,8.9,SSW,26,NE,S,1,1,No,0,No,16.2,1025.65,63.5,16
4.2,17.7,0,1.8,9,SSW,26,NE,SSW,1,3,No,0,No,13.75,1025.7,66.5,11
6.5,21,0,2.2,9.2,NNE,20,NE,NNW,2,2,No,0,No,16.45,1023.4,55,10
8.5,23.3,0,1.8,8.9,NNE,35,NE,NNE,0,4,No,0.2,No,17.9,1017.25,38.5,16.5
12.3,22.2,0.2,2,8.1,WNW,37,N,WNW,6,3,No,20.2,Yes,18.75,1012.55,68.5,15.5
12.2,16.8,20.2,4.8,0.5,WSW,37,WNW,S,7,7,Yes,7.2,Yes,13.45,1011,92,13
4.2,16.6,7.2,2.2,5.8,SW,22,NE,SSW,2,6,Yes,0,No,12,1018.35,73.5,9
4.8,17.6,0,1.4,8.3,SSW,33,NNE,SSW,7,1,No,0,No,13.3,1025,63.5,14
3.3,20.2,0,1.4,8.9,W,24,NNE,W,1,1,No,0,No,14.55,1027.45,59.5,12
7.4,21.4,0,1.2,8.6,NE,26,NNE,WNW,1,1,No,0,No,16.4,1025,58,12
4.7,21.1,0,2,7.7,N,28,N,NNE,1,3,No,0,No,15.8,1022.45,51.5,12
5.7,21.4,0,1.4,8.7,NW,43,NNE,NNW,1,2,No,0,No,16.2,1017.8,49.5,19.5
10.2,20.1,0,3.2,5.5,N,35,N,N,6,4,No,11,Yes,16.15,1013.45,76.5,23.5
13.2,17,11,1,5.5,W,81,WNW,WSW,7,5,Yes,7.6,Yes,15.3,1007.55,66,34
10.5,18.6,7.6,3.4,4.4,W,74,NW,WNW,6,4,Yes,19.6,Yes,15.65,1013.1,70.5,21.5
10.5,15.6,19.6,5.4,5.8,W,50,S,SSW,7,4,Yes,0.2,No,12.75,1017.5,61.5,20.5
4,16.6,0.2,1.2,4.3,ENE,31,ENE,NNE,7,5,No,0.8,No,12.5,1017.7,56.5,13
9.2,14.8,0.8,2.4,0,NE,41,E,NE,7,8,No,7.6,Yes,11.55,1007.6,82.5,18.5
8.9,17.6,7.6,1.2,1.4,NNE,52,NNE,NNE,7,7,Yes,14.2,Yes,14,1000.9,88.5,17.5
12.1,20.1,14.2,0.4,7.7,W,48,W,W,2,3,Yes,0.8,No,18,1007.3,64.5,21.5
9.5,16.5,0.8,1.2,0.1,NNW,52,NE,N,7,8,No,6,Yes,14.45,1007.4,86,19.5
13,18.3,6,2.4,5.9,NW,70,WNW,WNW,3,4,Yes,6.2,Yes,15.55,1004.5,65,30.5
13.1,19.3,6.2,1.6,7.3,NW,65,WNW,NW,5,4,Yes,14.8,Yes,17.2,1003.8,66,27.5
13.7,16.2,14.8,7.2,3.8,WNW,83,W,W,6,6,Yes,8.8,Yes,13.85,996.9,75.5,38.5
9.1,15.1,8.8,2.8,3.4,W,56,WSW,SW,7,7,Yes,5.2,Yes,13.5,1011.6,74,21.5
8.9,17.7,5.2,1.2,7.4,SSW,33,NE,WSW,7,3,Yes,0.2,No,14.6,1021.75,74.5,15.5
2.3,17.6,0.2,2.6,9.2,ENE,30,ENE,ESE,1,2,No,0,No,13.5,1028.45,67,9
5.3,17.8,0,2.8,6.3,ENE,41,E,ENE,3,6,No,0,No,13.5,1026.05,63.5,22
10.1,18.4,0,1,3.4,ENE,30,NE,SE,4,5,No,0,No,14.3,1021.2,67.5,8
8.5,21.1,0,1,8.9,NE,30,NE,NNE,0,3,No,4.4,Yes,15.3,1018.6,63.5,17
12.1,19.3,4.4,2.6,2.7,NNE,48,NNE,W,8,7,Yes,4,Yes,15.85,1009.95,84,24
7.9,17.7,4,1.8,2,WNW,28,NE,NNW,6,7,Yes,0.6,No,14.65,1017.3,71.5,12
10.9,19.1,0.6,0.8,3,NNE,37,NE,N,5,7,No,13.4,Yes,15.15,1013.95,64,13.5
11.8,19,13.4,2.6,5,NE,41,WSW,W,8,4,Yes,19,Yes,15.65,1005.35,76,15
10.8,17.8,19,1.6,4.9,WSW,56,W,WSW,6,7,Yes,5,Yes,13.7,1008.2,82,21.5
7.2,17.7,5,1.8,7.3,WSW,28,NNW,W,3,2,Yes,0,No,14.7,1014.1,59.5,13
3.9,16.9,0,1.8,8.9,S,26,S,E,1,1,No,0,No,13.1,1022.5,60,10
2,17.3,0,1.6,8.5,S,28,NNE,S,4,1,No,0,No,12.6,1027.9,67,14
3.3,17.4,0,2.2,9.4,NE,35,E,NE,1,0,No,0,No,12.85,1026.7,61,20
7.1,21.2,0,2.2,9.1,NNW,56,NNE,NNE,0,1,No,8.2,Yes,17.2,1017.6,40,29.5
12.3,17.3,8.2,3.8,4.5,W,63,WNW,WNW,7,6,Yes,10.2,Yes,13.95,1012.15,71,18.5
12.9,18.4,10.2,2.6,5.7,W,50,SW,WSW,5,6,Yes,0.8,No,15.85,1015.85,63,22.5
11.4,19.4,0.8,2.4,4.7,NNW,52,WNW,WNW,6,7,No,26.8,Yes,15.55,1015.6,75.5,26.5
10.8,16.6,26.8,3.6,3.6,WNW,65,NNW,NW,7,6,Yes,25,Yes,12.5,1006.95,85.5,8.5
8.3,14.6,25,2.8,4.9,WSW,76,W,WNW,7,4,Yes,10.2,Yes,11.85,1002.1,64.5,25
8.5,15.7,10.2,1.8,5.6,WSW,76,SSW,SW,4,5,Yes,1.8,Yes,14.4,1013.8,66,19.5
6.7,17.2,1.8,1.6,4.7,NNW,44,NE,NNW,6,5,Yes,8.8,Yes,13.75,1017.85,80,17
11,16.9,8.8,1.8,3.8,S,33,S,SSW,7,7,Yes,0,No,14.05,1018.35,76,16
3.9,16.3,0,1.6,9,SSW,33,SSW,SSW,1,3,No,1.8,Yes,12.65,1021.3,60.5,14
5.2,15.6,1.8,4.2,8.7,W,48,SSW,S,1,4,Yes,0,No,12.3,1027.5,57,12
2,15.7,0,1.2,4.9,ENE,26,ENE,S,5,6,No,0,No,12.5,1031.65,56.5,14
4.5,16,0,1.2,2.8,SW,19,NNE,S,6,7,No,0,No,12.95,1032.2,63.5,7
3.6,17.8,0,1.2,7.5,ESE,31,NNE,SSE,3,1,No,0,No,13.4,1032.45,67.5,13
5.7,20,0,1.8,9.4,E,28,ENE,NNE,1,1,No,0,No,14.6,1032.15,50.5,10.5
5.4,21.8,0,2,9.6,ENE,35,NE,WSW,1,1,No,0,No,17.05,1030.1,44.5,8
7,21.6,0,2.4,9.7,E,28,ENE,W,1,0,No,0,No,17.1,1025.55,45,9.5
2.6,20.3,0,1,8.6,WSW,30,N,SW,0,1,No,0,No,15,1024,61,14
3.5,20.9,0,3.6,9.3,ESE,30,NE,NE,4,5,No,0,No,16.2,1025.5,59.5,12
3.8,21.5,0,2.6,8.2,SW,28,ENE,SSW,1,2,No,0,No,16.3,1023.95,60,2
3.8,21.1,0,3.2,8.9,ENE,22,E,WNW,4,1,No,0,No,15.85,1020.35,64.5,3
6.6,20.9,0,1.6,5.6,NNW,48,NNE,NW,4,6,No,9.6,Yes,16.55,1013.95,64,19.5
13,19.5,9.6,2.4,6.3,WSW,46,S,NW,7,1,Yes,0,No,16.65,1014.75,71,14
5.6,20.2,0,3,5.6,WSW,19,NE,NW,6,0,No,0,No,16.4,1017.55,66,6
12.8,21.7,0,0.8,3,WSW,37,E,W,8,7,No,2.4,Yes,17.5,1013.65,78.5,10.5
11.9,21,2.4,1,4.8,E,35,ENE,ENE,6,7,Yes,1.6,Yes,17.75,1012.1,68.5,20.5
14.1,20.8,1.6,3,4.6,W,59,N,WSW,8,6,Yes,6,Yes,17.35,1007.1,80,26
10.6,17.5,6,3.4,1.8,NW,33,ENE,N,7,6,Yes,12,Yes,15.05,1014.7,70,9
11.7,18.9,12,1.8,5.1,W,48,W,WNW,7,5,Yes,2.6,Yes,16.8,1010.9,71,17.5
11,20.8,2.6,2.4,6,NNW,61,N,NW,6,7,Yes,20.4,Yes,17.5,1009.35,72,28.5
13.7,20.4,20.4,4,4.3,NW,78,NW,WNW,7,7,Yes,9.8,Yes,17.75,1005.5,75,33
9.2,15.2,9.8,1.8,6.9,WSW,67,W,WSW,6,4,Yes,3.6,Yes,13.35,1010.9,54.5,30.5
10.2,17.9,3.6,1.2,5.7,W,50,N,SW,7,6,Yes,22.8,Yes,14,1019,87.5,15
11.2,20.1,22.8,3.2,8.2,W,43,NNE,NW,4,2,Yes,0.6,No,16.45,1016.6,67,16.5
8.4,19.3,0.6,1.8,4.6,NW,52,NNE,W,5,5,No,13.8,Yes,15.5,1010.25,79,22.5
12.3,19.2,13.8,1.8,5.1,WNW,87,NNE,W,5,5,Yes,5,Yes,16.3,1016.05,75.5,14.5
12.6,18.2,5,2.8,0.1,WSW,39,NW,W,7,8,Yes,11.8,Yes,15.35,1015.1,91.5,13
10.1,17.2,11.8,1.6,7.7,WSW,48,NNE,WSW,5,5,Yes,1.8,Yes,14,1013.3,71.5,15.5
12.2,17.9,1.8,2.4,3.2,WSW,50,WSW,W,7,8,Yes,1.2,Yes,15.9,1010.9,72.5,22
12.5,17.1,1.2,3.6,6.2,WSW,56,SW,WSW,5,7,Yes,0,No,15.1,1015.05,53.5,26
10.7,18.4,0,1.6,6.1,WSW,37,SSE,WSW,6,6,No,0,No,15.55,1020.05,75,13
6.3,19.3,0,1.8,9.6,E,30,E,ENE,3,1,No,0,No,16.55,1023.1,61,9
4.2,20.1,0,2.4,10.5,SSW,31,NW,WSW,0,1,No,0,No,16.1,1018.6,62,11.5
3.3,17.8,0,3.4,10,SSW,35,S,SSW,1,2,No,0.8,No,14.8,1012.95,60,13.5
9,17.3,0.8,3.2,2.5,SSW,61,NE,S,6,8,No,3.2,Yes,12.25,1011.1,84,20.5
0.9,16.7,3.2,3.4,10.5,SSW,37,NE,S,1,4,Yes,0,No,12.1,1026.05,56.5,13.5
4.6,17.1,0,2.4,4.2,WSW,30,NNE,W,5,7,No,0,No,13.55,1028.1,67,15
6.4,19.2,0,1.2,5.3,WNW,26,NNE,WSW,6,7,No,1.8,Yes,15.05,1023.05,56.5,10
8.4,19.2,1.8,1.6,7.1,W,56,N,WNW,6,5,Yes,3.8,Yes,15.75,1014.4,69.5,23
9.7,16,3.8,3.6,3,SW,56,WSW,SW,7,7,Yes,0,No,13.45,1018.75,57.5,19.5
9.3,17.8,0,2.8,3.2,WSW,26,E,SSW,7,5,No,0,No,14.75,1022.45,46,14
5.8,22.4,0,2.4,10.2,WSW,50,NE,WNW,1,1,No,10.4,Yes,16.85,1013.95,43,17.5
9.7,16.3,10.4,3.8,9,WSW,61,SW,WSW,5,2,Yes,3.2,Yes,13,1014.2,64.5,29.5
7.1,17.4,3.2,4.6,6.6,W,31,NNE,SW,6,4,Yes,0.8,No,14.4,1020.75,73.5,17
